client_id,site_id,client_name,website,website_confidence,primary_carwash_type,classify_confidence,secondary_types,reasoning,is_express
184520david,1,David Chevrolet,https://www.davidcars.com/,90,Unknown,0.25,,"The scraped website text does not mention any specific car wash services or related markers (e.g., express tunnel, full service, in-bay, etc.). Instead, the page appears to be a CAPTCHA or security verification notice, likely for a dealer or commercial-related website (inferred from 'davidcars.com' and the logo). No clear classification can be made based on the provided data.",Unknown
182053watergap,1,Water Gap Car Wash,,0,Unknown,0.0,,no confident website found,Unknown
183765aloha,1,Aloha Car Wash,,0,Unknown,0.0,,no confident website found,Unknown
204663flawless,1,Flawless Auto Bath Inc,,0,Unknown,0.0,,no confident website found,Unknown
210856pristine,1,Closter Car Wash,,0,Unknown,0.0,,no confident website found,Unknown
215376rockaway,1,Rockaway Auto Bath,,0,Unknown,0.0,,no confident website found,Unknown
24036englewood,1,Englewood Car Wash,,0,Unknown,0.0,,no confident website found,Unknown
36108shine,1,Shine Car Washes,,0,Unknown,0.0,,no confident website found,Unknown
412somerset_000727,1,412 Somerset,,0,Unknown,0.0,,no confident website found,Unknown
46303superior,1,Superior Almeda Car Wash,,0,Unknown,0.0,,no confident website found,Unknown
5017238goclean,1,Go Clean Pensacola,,0,Unknown,0.0,,no confident website found,Unknown
5017238goclean,2,Go Clean Pensacola,,0,Unknown,0.0,,no confident website found,Unknown
5031881pecan,1,Dr. Car Wash Plus Pecan Grove,https://drcarwashplus.com/,90,Unknown,0.0,,"The provided scraped text contains minimal information with no mention of services, packages, or keywords related to specific types of car wash operations. Without relevant markers or descriptions, classification is not possible.",Unknown
5025585h2glo,1,H2GLO CAR WASH,,0,Unknown,0.0,,no confident website found,Unknown
5028893university,1,Wish Wash 7,,0,Unknown,0.0,,no confident website found,Unknown
59178kustom,1,WetnJet Car Wash,https://www.wetnjet.com/wet-n-jet-fredericksburg/,90,Unknown,0.55,,"The scraped website text primarily indicates that there was a critical WordPress-related error and the target URL returned a 500 Internal Server Error. No information related to car wash services, features, or types was detected in the text. The lack of any identifiable markers associated with car wash classifications results in an 'Unknown' classification with medium-low confidence due to the absence of relevant data.",Unknown
98678palmisland,1,Kleen Machine,,0,Unknown,0.0,,no confident website found,Unknown
90984ardoyle,1,H2O Auto Spa,,0,Unknown,0.0,,no confident website found,Unknown
advanceautodetailing_000566,1,Chemical Guys Car Wash,www.chemicalguys.com,95,Unknown,0.0,,"The website primarily focuses on selling car detailing supplies, cleaning products, and tools. There is no direct mention or evidence of a car wash type (e.g., Express Tunnel, Full Service, Flex, etc.). The content emphasizes do-it-yourself (DIY) car care, which does not align directly with any specific car wash service types defined for classification. As a result, it is classified as 'Unknown'.",Unknown
alohacw_000323,1,Aloha Car Wash,http://alohacarwashcompany.com/,90,Unknown,0.25,,"The scraped text is a generic homepage that does not include any descriptions or markers explicitly indicating the type of car wash or services offered. There are no mentions of express tunnels, vacuuming, manual wand usage, brushless technologies, detailing, or mobile services. The lack of relevant keywords makes it impossible to accurately classify the car wash type.",Unknown
alohacw_000323,2,Aloha Car Wash,http://alohacarwashcompany.com/,90,Unknown,0.2,,"The scraped text provides no specific information about the type of car wash services offered. Keywords or markers such as 'express tunnel,' 'vacuum,' 'hand wash,' 'automatic bay,' 'brushless,' 'mobile,' or any specific service type are not mentioned in the text. The data primarily contains generic content such as copyright information, social media links, and a privacy policy link, which are irrelevant for classification. Therefore, the confidence for classification is very low.",Unknown
alpineshell_000609,1,Alpine Shell,https://www.alpineshinehandcarwash.com/,90,Unknown,0.1,,"The scraped website text primarily focuses on Instagram-related login, account creation, and Meta services, with no explicit details about car wash services, processes, or features. The content contains no markers or keywords related to car wash types, making it impossible to classify the business under any predefined categories with confidence.",Unknown
allseasonscarwash_000110,1,The Washery,,0,Unknown,0.0,,no confident website found,Unknown
altontowncw_000530,1,Alton Town Center,https://www.alton-gas.com/general-5,90,Unknown,0.9,,"The scraped text provides no mention of car wash services, features, or keywords relevant to classification. Instead, it discusses setting up a Wix domain for a website and includes a 404 error for the provided URL. With no identifiable markers of any car wash type, the classification is 'Unknown' with high confidence.",Unknown
anchorcw_000452,1,Wave Auto Wash,www.shell.com,95,Unknown,0.1,,"The scraped website text appears to be focused on the corporate activities, investments, sustainability initiatives, and other general business details of Shell as an energy company. It does not contain any specific markers or keywords related to car wash services (e.g., express tunnel, full service, touchless, etc.). Additionally, there is no mention of vehicle cleaning processes, membership details, or systems like conveyor belts, manual spray wands, or automatic bays that would be indicative of a particular car wash type.",Unknown
aquashine_000797,1,Aqua Shine,www.aloias.com,95,Unknown,0.95,,"The scraped website content indicates that the domain is not currently connected to an active website and returned a 404 error. There is no information related to any car wash services, types, or features, making classification infeasible. The confidence score is high because of the clear lack of relevant data on the webpage.",Unknown
americanspeed_000772,1,American Speed Wash,,0,Unknown,0.0,,no confident website found,Unknown
autosportcw_000436,1,Autosport Car Wash,https://autosportwash.com/,90,Unknown,0.4,,"The scraped text does not explicitly describe the operational model of this car wash or include definitive markers for any of the classification categories. While the text emphasizes environmental benefits like water conservation and recycling, it lacks specific mentions of express tunnels, full service, in-bay automatic systems, self-serve bays, touchless technology, hand wash/detailing, or mobile services. The lack of operational details such as staying in the vehicle, interior cleaning, vacuuming, coin operations, or staff cleaning leads to a classification of 'Unknown'.",Unknown
atlanticcitycw_000331,1,Atlantic City Car Wash,,0,Unknown,0.0,,no confident website found,Unknown
avatar_000499,1,Avatar,www.avatarexpresscarwash.com,95,Unknown,0.1,,"The text primarily discusses the sale of the domain 'avatarexpresscarwash.com' through platforms like GoDaddy and ExpiredDomains.com. There is no functional car wash business described, nor any information related to car wash types, services, or operations. The detected markers, such as domain sale attributes and SEO metrics, indicate this is an expired domain listing rather than an active or operational car wash website. As such, classification remains 'Unknown' with very low confidence.",Unknown
autolaundry_000807,1,Auto Laundry,,0,Unknown,0.0,,no confident website found,Unknown
autoshineoil,1,Brothers Car Wash,,0,Unknown,0.0,,no confident website found,Unknown
b3carwash_000524,1,B3 Car Wash,,0,Unknown,0.0,,no confident website found,Unknown
bigrivercw_000344,3,Big River Car Wash,www.bigrivercarwash.com,95,Unknown,0.2,,"The provided text does not contain any information relevant to identifying the type of car wash. The content appears to reference a tracking image or unrelated elements with no mention of car wash services or attributes. As a result, classification cannot be confidently made.",Unknown
bigrivercw_000344,1,Big River Car Wash,www.bigrivercarwash.com,95,Unknown,0.1,,"The scraped website text does not provide any meaningful information about the services or features of the car wash. The text appears to include a reference to a tracking pixel and mentions a cached snapshot but provides no details about the car wash's operations, offerings, or classifications. This makes it impossible to classify the car wash with the given data.",Unknown
bigrivercw_000344,4,Big River Car Wash,www.bigrivercarwash.com,95,Unknown,0.2,,"The scraped website text contains no information about car wash services or any relevant keywords that would allow classification. The content appears to be an unrelated tracking pixel or metadata. Without meaningful service details, the car wash type cannot be determined.",Unknown
bjpark_000756,1,BJ Park,,0,Unknown,0.0,,no confident website found,Unknown
blackdiamond_000223,1,Black Diamond,,0,Unknown,0.0,,no confident website found,Unknown
bluewavecw_000511,1,U S Car Wash,https://www.usmarketstores.com/,90,Unknown,0.3,,"The scraped website text primarily describes a convenience store and gas station chain (US Market) in Oregon. It includes information about store locators, careers, shopping, and other general services but does not provide any direct indications or keywords typically associated with car washes, such as express tunnels, full service, self-serve bays, or mobile wash and detailing services. No car wash-related packages (e.g., unlimited memberships) or specific car wash equipment types (e.g., touchless, brush-based systems) are mentioned. Therefore, the type of car wash associated with this business cannot be determined from the provided information.",Unknown
bobmoore_000719,1,Bob Moore,,0,Unknown,0.0,,no confident website found,Unknown
bocabestcarwash_000109,1,Boca Best Car Wash,,0,Unknown,0.0,,no confident website found,Unknown
boyntonbeachbp_000101,1,Xcell Auto Spa,,0,Unknown,0.0,,no confident website found,Unknown
britebrothers_000760,5,Brite Brothers,www.britebrotherscarwash.com,95,Unknown,0.9,,"The scraped text explicitly mentions that all Brite Brothers Car Wash locations are permanently closed as of June 10, 2026. While the name suggests it was an 'Express Car Wash,' there is no evidence or detail in the text itself to confirm specific operational features. No packages, services, or keywords align strongly with a functioning car wash type due to closure. Thus, it cannot be definitively classified into any operational category.",Unknown
britebrothers_000760,3,Brite Brothers,www.britebrotherscarwash.com,95,Unknown,0.8,,"The scraped text mentions 'Express Car Wash' in the title, which suggests it may have been an express tunnel car wash. However, there is insufficient detail or supporting information to confirm this categorization with high certainty. Additionally, the text indicates that all locations are permanently closed, making classification less relevant as there is no active car wash operation. Found markers suggest the potential of express car wash characteristics, but without operational details or tangible services, classification defaults to 'Unknown.'",Unknown
britebrothers_000760,6,Brite Brothers,www.britebrotherscarwash.com,95,Unknown,0.85,,"The scraped text indicates that Brite Brothers Car Wash has closed permanently and provides no operational details about their car wash type (e.g., express tunnel, full service, etc.). Although the title mentions 'Express Car Wash,' the lack of operational information and closure status limits classification reliability. As a result, the classification is marked as 'Unknown' with high confidence due to insufficient actionable data.",Unknown
britebrothers_000760,1,Brite Brothers,www.britebrotherscarwash.com,95,Unknown,0.8,,"The provided scraped website text mentions that the business, Brite Brothers Car Wash, has closed permanently as of June 10, 2026. The title references 'Express Car Wash,' which could imply the business was an Express Tunnel car wash. However, the content does not include specific markers such as 'conveyor,' 'unlimited membership,' or 'stay in vehicle,' nor does it detail any operational features for classification into any type of car wash. The primary type is classified as 'Unknown' due to the closure and lack of sufficient information about the car wash's services or operations.",Unknown
bubbletunnelcw_000368,1,Bubble Tunnel Car Wash,,0,Unknown,0.0,,no confident website found,Express
buggybath_000045,1,BuggyBath,https://buggybathreno.com/,90,Unknown,0.3,,"The provided text does not include specific information about the car wash's operational model. While it emphasizes high-quality service and professionalism, it lacks identifiers such as 'express tunnel,' 'full service,' 'rollover,' or other keywords that would classify the car wash into a distinct type. More details about included services (e.g., vacuuming, manual spray wand, touchless technology) are needed to make a classification.",Unknown
buffalofrontcw_000715,1,Buffalo Front Car Wash,,0,Unknown,0.0,,no confident website found,Unknown
buffitautowash_000111,1,Buff it Auto Wash,,0,Unknown,0.0,,no confident website found,Unknown
buffitautowash_000111,2,Buff it Auto Wash,,0,Unknown,0.0,,no confident website found,Unknown
buffitautowash_000111,4,Buff it Auto Wash,,0,Unknown,0.0,,no confident website found,Unknown
cajunclean_000175,1,Cajun Clean,www.cajuncleanexpress.com,95,Unknown,0.0,,empty scrape,Unknown
cajunclean_000175,2,Cajun Clean,www.cajuncleanexpress.com,95,Unknown,0.0,,empty scrape,Unknown
carismacarwash_000200,1,Carisma Car Wash,,0,Unknown,0.0,,no confident website found,Unknown
carolinashores_000338,5,Carolina Shores,,0,Unknown,0.0,,no confident website found,Unknown
carwashpalace_000151,1,Car Wash Palace,www.cwpalace.com,95,Unknown,0.0,,empty scrape,Unknown
carusoscarcare_000515,1,Caruso's Car Care,,0,Unknown,0.0,,no confident website found,Unknown
championcarwash_000085,1,Champion CW,,0,Unknown,0.0,,no confident website found,Unknown
championcarwash_000085,3,Champion CW,,0,Unknown,0.0,,no confident website found,Unknown
championcarwash_000085,5,Champion CW,,0,Unknown,0.0,,no confident website found,Unknown
championcw_000031,1,Champion Car Wash,www.champxpress.com,95,Unknown,0.5,,"The scraped text lacks the necessary operational or descriptive details to identify the type of car wash. It is primarily focused on return policies, privacy policies, terms, and conditions, without providing information about the services or features related to the car wash. No explicit markers match any classification type, and the URL (champxpress.com) provides minimal directional cues without confirmatory data supporting any specific category. Due to the lack of essential clues, this site is labeled as 'Unknown.'",Unknown
championcarwash_000085,9,Champion CW,,0,Unknown,0.0,,no confident website found,Unknown
championxpresscw_000216,1,Champion Xpress CW,http://champxpress.com/,90,Unknown,0.2,,"The scraped website content provides no information directly related to the type of car wash offered, such as service details, operational methods, or descriptions relevant to classification. The text primarily discusses policies (return policy, privacy policy, terms & conditions) and copyright. Without specific markers for operations like express tunnels, full service, or self-serve systems, classification is inconclusive.",Express
championxpresscw_000216,4,Champion Xpress CW,http://www.champxpress.com/,90,Unknown,0.2,,"The provided text primarily contains policies, terms of use, copyright information, and privacy details. There is no clear information or markers related to car wash types, services, or features like Express Tunnel, Full Service, In-Bay Automatic, Self-Serve, Touchless, Hand Wash/Detail, Flex, Mobile, or others. Keywords related to these classifications are absent, making it impossible to determine the type of car wash with any confidence.",Express
championxpresscw_000216,11,Champion Xpress CW,http://www.champxpress.com/,90,Unknown,0.2,,"The provided text primarily contains policies, terms of use, copyright information, and privacy details. There is no clear information or markers related to car wash types, services, or features like Express Tunnel, Full Service, In-Bay Automatic, Self-Serve, Touchless, Hand Wash/Detail, Flex, Mobile, or others. Keywords related to these classifications are absent, making it impossible to determine the type of car wash with any confidence.",Express
championxpresscw_000216,12,Champion Xpress CW,http://www.champxpress.com/,90,Unknown,0.2,,"The provided text primarily contains policies, terms of use, copyright information, and privacy details. There is no clear information or markers related to car wash types, services, or features like Express Tunnel, Full Service, In-Bay Automatic, Self-Serve, Touchless, Hand Wash/Detail, Flex, Mobile, or others. Keywords related to these classifications are absent, making it impossible to determine the type of car wash with any confidence.",Express
championxpresscw_000216,14,Champion Xpress CW,http://www.champxpress.com/,90,Unknown,0.2,,"The provided text primarily contains policies, terms of use, copyright information, and privacy details. There is no clear information or markers related to car wash types, services, or features like Express Tunnel, Full Service, In-Bay Automatic, Self-Serve, Touchless, Hand Wash/Detail, Flex, Mobile, or others. Keywords related to these classifications are absent, making it impossible to determine the type of car wash with any confidence.",Express
championxpresscw_000216,15,Champion Xpress CW,http://www.champxpress.com/,90,Unknown,0.2,,"The provided text primarily contains policies, terms of use, copyright information, and privacy details. There is no clear information or markers related to car wash types, services, or features like Express Tunnel, Full Service, In-Bay Automatic, Self-Serve, Touchless, Hand Wash/Detail, Flex, Mobile, or others. Keywords related to these classifications are absent, making it impossible to determine the type of car wash with any confidence.",Express
championxpresscw_000216,17,Champion Xpress CW,http://www.champxpress.com/,90,Unknown,0.2,,"The provided text primarily contains policies, terms of use, copyright information, and privacy details. There is no clear information or markers related to car wash types, services, or features like Express Tunnel, Full Service, In-Bay Automatic, Self-Serve, Touchless, Hand Wash/Detail, Flex, Mobile, or others. Keywords related to these classifications are absent, making it impossible to determine the type of car wash with any confidence.",Express
championxpresscw_000216,7,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,19,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,18,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,21,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,22,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,23,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,24,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,25,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,26,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,27,Champion Xpress CW,http://www.champxpress.com/,90,Unknown,0.2,,"The provided text primarily contains policies, terms of use, copyright information, and privacy details. There is no clear information or markers related to car wash types, services, or features like Express Tunnel, Full Service, In-Bay Automatic, Self-Serve, Touchless, Hand Wash/Detail, Flex, Mobile, or others. Keywords related to these classifications are absent, making it impossible to determine the type of car wash with any confidence.",Express
championxpresscw_000216,28,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,29,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,30,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,31,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,32,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,34,Champion Xpress CW,http://www.champxpress.com/,90,Unknown,0.2,,"The provided text primarily contains policies, terms of use, copyright information, and privacy details. There is no clear information or markers related to car wash types, services, or features like Express Tunnel, Full Service, In-Bay Automatic, Self-Serve, Touchless, Hand Wash/Detail, Flex, Mobile, or others. Keywords related to these classifications are absent, making it impossible to determine the type of car wash with any confidence.",Express
championxpresscw_000216,33,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,35,Champion Xpress CW,http://www.champxpress.com/,90,Unknown,0.2,,"The provided text primarily contains policies, terms of use, copyright information, and privacy details. There is no clear information or markers related to car wash types, services, or features like Express Tunnel, Full Service, In-Bay Automatic, Self-Serve, Touchless, Hand Wash/Detail, Flex, Mobile, or others. Keywords related to these classifications are absent, making it impossible to determine the type of car wash with any confidence.",Express
championxpresscw_000216,36,Champion Xpress CW,http://www.champxpress.com/,90,Unknown,0.2,,"The provided text primarily contains policies, terms of use, copyright information, and privacy details. There is no clear information or markers related to car wash types, services, or features like Express Tunnel, Full Service, In-Bay Automatic, Self-Serve, Touchless, Hand Wash/Detail, Flex, Mobile, or others. Keywords related to these classifications are absent, making it impossible to determine the type of car wash with any confidence.",Express
championxpresscw_000216,39,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,38,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,40,Champion Xpress CW,http://www.champxpress.com/,90,Unknown,0.2,,"The provided text primarily contains policies, terms of use, copyright information, and privacy details. There is no clear information or markers related to car wash types, services, or features like Express Tunnel, Full Service, In-Bay Automatic, Self-Serve, Touchless, Hand Wash/Detail, Flex, Mobile, or others. Keywords related to these classifications are absent, making it impossible to determine the type of car wash with any confidence.",Express
championxpresscw_000216,41,Champion Xpress CW,http://www.champxpress.com/,90,Unknown,0.2,,"The provided text primarily contains policies, terms of use, copyright information, and privacy details. There is no clear information or markers related to car wash types, services, or features like Express Tunnel, Full Service, In-Bay Automatic, Self-Serve, Touchless, Hand Wash/Detail, Flex, Mobile, or others. Keywords related to these classifications are absent, making it impossible to determine the type of car wash with any confidence.",Express
championxpresscw_000216,42,Champion Xpress CW,http://www.champxpress.com/,90,Unknown,0.2,,"The provided text primarily contains policies, terms of use, copyright information, and privacy details. There is no clear information or markers related to car wash types, services, or features like Express Tunnel, Full Service, In-Bay Automatic, Self-Serve, Touchless, Hand Wash/Detail, Flex, Mobile, or others. Keywords related to these classifications are absent, making it impossible to determine the type of car wash with any confidence.",Express
championxpresscw_000216,43,Champion Xpress CW,http://www.champxpress.com/,90,Unknown,0.2,,"The provided text primarily contains policies, terms of use, copyright information, and privacy details. There is no clear information or markers related to car wash types, services, or features like Express Tunnel, Full Service, In-Bay Automatic, Self-Serve, Touchless, Hand Wash/Detail, Flex, Mobile, or others. Keywords related to these classifications are absent, making it impossible to determine the type of car wash with any confidence.",Express
championxpresscw_000216,44,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,45,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
championxpresscw_000216,46,Champion Xpress CW,https://champxpress.com/,90,Unknown,0.1,,"The provided website text does not include sufficient information to classify the type of car wash being offered. It primarily consists of policies, terms and conditions, and general business information without describing the type of wash services or operations. No keywords or markers indicative of any specific car wash type (e.g., 'express tunnel', 'self-serve', 'touchless', etc.) were detected.",Express
