client_id,site_id,client_name,website,website_confidence,primary_carwash_type,classify_confidence,secondary_types,reasoning
1003445texasstar,1,"Texas Star Wash, LLC",https://www.texasstarwash.com/,90,Flex,0.95,Express Tunnel;Full Service;Hand Wash / Detail,"The website provides clear indications of a Flex car wash model. They offer Express Washes where the customer stays in their vehicle (indicative of 'Express Tunnel') and uses free vacuums ('Self-Serve'-like). The 'Inside Clean Service' adds interior cleaning, vacuuming, and hand-drying, which are characteristics of 'Full Service.' Additionally, the 'Detail Services' emphasize hand wash and detailing. The wash memberships (‘Wash Clubs’) further reinforce the express model. Altogether, these services indicate flexibility between express exterior cleaning and more comprehensive full-service options, classifying this as a 'Flex' car wash."
1003485russell,1,Russell Speeders 2,https://russellspeeders.com/locations/stamford,90,Unknown,0.1,,"The scraped website text does not contain sufficient information to classify the car wash type. It primarily includes placeholders such as a CAPTCHA challenge screen, title, and URL information but lacks specific details about the services, features, or offerings related to a car wash. As such, classification cannot be confidently determined."
1003010quickandclean,1,Quick And Clean Car Wash - Santa Maria,,0,Unknown,0.0,,no confident website found
1003079firehouse,1,Firehouse Car Wash,,0,Unknown,0.0,,no confident website found
1003541american,1,American Car Wash,http://www.soapyjoesmn.com/,90,Flex,0.95,Express Tunnel;Hand Wash / Detail,"Based on the provided content, Soapy Joe's Car Wash offers features typical of an Express Tunnel wash, such as monthly membership options and the ability to wash cars as often as desired for a set monthly price. These services align with express-style operations. Additionally, the mention of 'precision of a hand wash' and a 'Car Spa detail service' suggests that hand wash and detailing services are also available, making the business a strong candidate for the Flex classification. Flex car washes typically combine express tunnels with options for full-service or hand wash/detailing services. Overall, the combination of express wash memberships and personalized detailing packages satisfies the classification as 'Flex,' with secondary inclusion of Express Tunnel and Hand Wash/Detail categories."
1003646autowash,1,The $3 Car Wash,https://www.sonnyscarwashwinthrop.com/,90,Express Tunnel,0.95,Self-Serve,"The text strongly indicates an Express Tunnel type of car wash due to the mention of unlimited daily car wash memberships, automatic monthly payment, and a quick-access automatic entrance — features commonly associated with express exterior conveyor-based car washes. Additionally, the listing of free vacuums and 24/7 self-serve bays suggests there are also self-serve facilities at this location. However, the primary emphasis is on the memberships and express services, which align with the Express Tunnel classification. The confidence score is high because the markers provided unambiguous evidence for these types. No details of Full Service, Hand Wash, or other types of car washes were detected."
1003711lindstrom,1,Lindstrom Car Wash,http://www.lindstromautowash.com/,90,Full Service,0.98,Hand Wash / Detail,"The website text highlights manual hand washing, towel drying, vacuuming of floors and mats, cleaning of interior elements like dashboard, and wiping door jams. These markers align strongly with the characteristics of a Full Service car wash. Additionally, the mention of professional Maguire® products and attention to detail suggests the optional secondary type of Hand Wash / Detail. There is no mention of elements typical to express tunnel, self-serve, in-bay automatic, touchless, flex, or mobile services; hence, these types were ruled out. The presence of customer loyalty packages strengthens the classification as Full Service."
1003625superspray,1,Super Spray,https://superspray2.com/car-wash.html,90,Unknown,0.0,,"The scraped website content does not contain any relevant information about car wash services. The page returns a 404 error (Page Not Found), and the text mentions unrelated topics like online gambling and a WordPress theme. No markers or keywords indicative of any type of car wash could be identified."
104486national,1,Riverhead Toyota Car Wash,https://northforkcarwash.com/,90,Express Tunnel,0.95,Touchless,"The website advertises an 'Unlimited Wash Club' with monthly memberships, emphasizing features like fast 3-minute wash times, exterior washing, and optional add-ons like protective coatings, ceramic seals, and Rain-X. The mention of a license plate recognition system and staying in the vehicle suggests an Express Tunnel model. There are no direct indications of manual intervention, full-service interior cleaning, or self-service options, which eliminates other categories like Full Service, Hand Wash, or Self-Serve. While they use brushes and offer additional features, there is no indication of a Touchless mode as the primary operation, relegating it to a secondary classification due to some packages mentioning protection for the car's surface."
107731buckeye,1,Buckeye Car Wash,www.buckeyeexpresscarwash.com,95,Express Tunnel,0.95,Unknown,"The scraped text prominently references 'Unlimited Membership,' a hallmark feature of Express Tunnel car washes. Descriptions of 'cashless facilities,' 'free vacuums,' and ease of use are typically associated with conveyor-style Express Tunnel operations. While there are no explicit mentions of conveyor systems or staying in the vehicle during the wash, the context aligns strongly with the Express Tunnel model. No information suggests full-service cleaning, In-Bay Automatic, Self-Serve, Touchless, or other categories explicitly, leaving these as secondary considerations."
105066ultimate,1,Ultimate Car Wash,www.ultimateexpresswash.com,95,Unknown,0.1,,"The scraped website text shows that the URL returned a 503 Service Temporarily Unavailable error, and no specific information about the car wash type, services, or features was provided. Without any relevant markers or content to analyze, I cannot classify the car wash type accurately."
1003569honda,1,Louisville Honda World,,0,Unknown,0.0,,no confident website found
107912supervalue,1,Super 4 Season Car Wash,https://www.super4seasoncarwash.com/,90,Full Service,0.95,Hand Wash / Detail,"The website explicitly mentions 'Full Service' being available along with operating hours, and there are references to detailing services. The phrases 'Full Service', 'Detailing', and 'Exterior Wash Only' with specified hours point strongly towards a Full Service operation with detailing as an additional offering. No significant indicators such as 'touchless', 'self-serve', or 'conveyor' were found. Additionally, the focus on quality service, potential hand-drying, and interior cleaning suggests a Full Service/Hand Wash operation."
107912supervalue,3,Super 4 Season Car Wash,https://www.super4seasoncarwash.com/,90,Flex,0.95,Full Service;Express Tunnel;Hand Wash / Detail,"The scraped text strongly suggests that this car wash offers multiple service types, including full-service options, express exterior washes, and auto detailing. Specific markers such as 'Full Service: Interior cleaning/vacuum included/hand dry/staff cleaning,' and 'Exterior Wash Only' clearly indicate features from both the Full Service and Express Tunnel categories. Additionally, the presence of promotions, memberships, and point systems align with models commonly seen in Flex car wash businesses. The likelihood of it being a Flex wash is high based on these mixed offerings and structured options for customers."
109881short,1,Fastlane Express Car Wash,https://www.fastlaneexpresscarwash.com/,90,Express Tunnel,0.95,,"The scraped text explicitly mentions a 'tunnel wash system,' 'conveyor system,' and encourages the driver to relax and stay in the vehicle ('take your hands off the wheel, foot off the brake'), which aligns with the characteristics of an Express Tunnel car wash. The offer of a free vacuum is mentioned, which is a common perk associated with Express Tunnel models. While the friendly staff is noted, it doesn't specifically imply full-service cleaning or interior cleaning, which further excludes Full Service as a possibility. The other classifications (In-Bay Automatic, Self-Serve, Touchless, Hand Wash/Detail, Flex, Mobile) are less relevant here based on the absence of markers for manual spray wands, automatic wash bays, brushless systems, hand detailing, mobile services, or flex service combinations."
104442autobath,1,Staten Island Auto Bath Inc,,0,Unknown,0.0,,no confident website found
1003635sparkle,1,Sparkle Express,www.sparklemyride.com,95,Express Tunnel,0.5,,name-heuristic: 'express' in client_name (was Unknown)
104446sparta,1,Sparta Car Wash,,0,Unknown,0.0,,no confident website found
118135glenville,1,Raindancer Of Glenville,http://www.rcarwash.com/,90,Unknown,0.2,,"The scraped text from the homepage of a car wash named 'Raindancer Car Wash' does not contain sufficient specific information to classify the car wash type. The provided text includes basic contact information (address, phone, and hours of operation) but lacks meaningful hints such as conveyor systems, automatic wash bays, hand wash services, detailing, touchless technology, or other relevant markers required for classification. Thus, it is not possible to confidently categorize the car wash with the data provided."
11331encino,1,Encino Auto Spa,http://www.encinoautospa.com/,90,Full Service,0.85,Express Tunnel,"The text mentions 'soft cloths' and 'high-pressure technology,' which suggest exterior cleaning done with equipment typically indicative of Express Tunnel operations. However, the presence of the convenience store and the phrase 'while you wait' strongly imply a traditional car wash that involves customers waiting while staff clean their vehicle, pointing toward Full Service. The wording also indirectly suggests organized packages and membership programs, often associated with these types. As direct detailing services or mobile components weren't explicitly mentioned, Full Service is determined as the primary type with Express Tunnel as a secondary type."
123719squeaky,1,Squeaky Clean Car Wash 2,http://www.squeakycleancarwashsantafe.com/,90,Full Service,0.95,Hand Wash / Detail,"The text prominently highlights services that focus on full-service car washes, such as vacuuming, cleaning of interior glass, towel drying, and hand detailing, all of which are strong indicators of a Full Service car wash. Additionally, offerings such as hand detailing, ceramic coating, interior cleaning, and shampooing further align with the classification of Full Service, and possibly secondarily 'Hand Wash / Detail.' The high level of service and attention to detail clearly distinguishes this establishment as primarily a Full Service car wash. The presence of packages like 'Monthly Car Wash Passes' and additional detailing options further support this classification."
123717squeaky,1,Squeaky Clean Car Wash,http://www.squeakycleancarwashsantafe.com/,90,Full Service,0.98,Hand Wash / Detail,"The website content provides substantial evidence that Squeaky Clean Car Wash operates as a Full Service car wash, offering interior vacuuming, glass cleaning inside and out, towel drying, and detailing as part of their services. They also offer specialized packages like ceramic coating and monthly passes, which align with the premium offerings typical of Full Service + Detailing businesses. The markers for vacuuming, interior cleaning, and exterior detailing clearly indicate Full Service as the primary classification, while 'Hand Wash / Detail' fits as a secondary type due to the polishing, waxing, and attention to detail described."
130843hippo,1,Hippo Car Wash,www.hippocarwash.com,95,Flex,0.85,Express Tunnel;Hand Wash / Detail;Full Service,"The website mentions 'most advanced tunnels in the area,' which strongly suggests an Express Tunnel setup. Moreover, the mention of 'VIP Monthly Memberships' and 'unlimited car wash subscription' aligns with typical features of Express Tunnels. However, the inclusion of 'Hand Wash | Hand Dry' and interior vacuuming, along with other customer care services (air freshener, interior cloth), aligns with Full Service features. These services can also indicate a Flex model combining express exterior services with full interior cleaning. Due to the combination of express and full-service options explicitly mentioned, the primary classification is Flex, with Express Tunnel, Hand Wash / Detail, and Full Service as secondary types."
131680vicks,1,Vics Car Wash,http://vicsexpresscarwash.net/,90,Full Service,0.95,Hand Wash / Detail;Express Tunnel,"The text heavily emphasizes interior and exterior cleaning, professional auto detailing, and offers express detailing services, which clearly aligns with a 'Full Service' car wash. Mentions of 'cleaning the interior' and 'thoroughly detailed by our professionals' support this classification. Additionally, the inclusion of express detailing services might also suggest they offer some Express Tunnel-like offerings, but this is secondary to their focus on full service. The lack of mentions of coin-operated systems, an in-bay automatic setup, or mobile services reduces the likelihood of other classifications. The facility's emphasis on personal and professional attention supports the inclusion of 'Hand Wash / Detail' as a secondary type."
138050american,1,American Car Wash,https://mistercarwash.com/store/good-hope/?utm_source=google&utm_medium=organic&utm_campaign=gbp,90,Express Tunnel,0.95,,"The scraped text strongly emphasizes features associated with Express Tunnel washes, such as conveyor-style express services, staying in the vehicle, quick wash options, and the Unlimited Wash Club® membership. It also mentions complementary offerings like free vacuums and microfiber towels for purchase, further supporting the classification. No evidence suggests in-bay automatic, hand wash, or self-serve operations."
136360andysauto,1,Vipexpresscarwash.net,https://vipexpresscarwash.com/,90,Flex,0.95,Express Tunnel;Full Service;Hand Wash / Detail,"The website prominently advertises both express exterior services, such as tunnel washes with unlimited monthly memberships, and interior full-service detailing options, including extensive care such as conditioning, vacuuming, and hand drying, which is characteristic of a Flex car wash model. Specific express packages such as 'Unlimited Monthly Car Wash Club' suggest an Express Tunnel component, while the detailed cleaning packages like 'Mini Detail' and 'Full Service Interior Detailing' align with Full-Service and Hand Wash / Detailing features. Thus, Flex is the most comprehensive classification."
132759carsplash,1,Pines Express Car Wash,https://elcarwash.com/fl/car-wash-in-pembroke-pines/,90,Express Tunnel,0.9,Touchless,"The website mentions express-style features such as automatic drive-thru car washes, monthly unlimited membership options, and amenities like free vacuums, microfiber towels, and dash wipes. The terminology like 'VIP lane' and 'stay in the vehicle' strongly aligns with Express Tunnel characteristics. Touchless elements are also detected through mentions of eco-friendly and biodegradable products, though they are not explicitly stated as a primary feature. The absence of other explicit services such as hand drying, mobile detailing, or self-serve stations rules out the other classifications with high confidence."
138050american,2,American Car Wash,https://mistercarwash.com/store/howell/?utm_source=google&utm_medium=organic&utm_campaign=gbp,90,Express Tunnel,0.95,Full Service;Self-Serve,"The scraped content from Mister Car Wash contains multiple references to features such as 'Unlimited Wash Club® Memberships,' 'Single Exterior Washes,' 'stay in vehicle,' and 'self-service vacuums.' These markers identify the primary car wash type as 'Express Tunnel.' The offerings for 'Interior Clean' services (dusting, vacuuming, interior window cleaning, and towel drying) suggest elements of Full Service, making it a secondary type. Additionally, the mention of free self-service vacuums and tools indicates that a Self-Serve component is also present. Given the terminology and services described, the evidence strongly supports 'Express Tunnel' as the primary classification with both 'Full Service' and 'Self-Serve' as secondary types."
123013arlington,1,North Arlington Car Wash,,0,Unknown,0.0,,no confident website found
12763superior,1,Superior Fry Car Wash,,0,Unknown,0.0,,no confident website found
143308kuhnsville,1,Kuhnsville Car Wash,www.kcwash.com,95,Flex,0.93,Express Tunnel;Full Service,"The website text indicates that Kuhnsville Car Wash provides both exterior and interior cleaning options, including vacuuming and staff cleaning, which points to Full Service characteristics. However, the mention of an 'Unlimited Wash Club' suggests Express Tunnel-style operations with membership options likely focused on quick, efficient exterior washing. This combination aligns closely with the Flex type, which includes both express exterior washes and full-service options. The detected markers and recurring themes support this classification."
151261chagrin,1,Chagrin Auto Spa,http://chagrinautospa.com/,90,Hand Wash / Detail,0.95,,"The text primarily emphasizes professional vehicle cleaning, detailing services, and maintaining spotless results, all indicative of Hand Wash / Detail classification. References to detailing the vehicle 'in and out' and images showing manual cleaning further support this classification. No evidence is found for automated systems, express tunnels, self-serve bays, or rollover in-bay systems. Additionally, no indicators are present for mobile services, flex models, or touchless processes."
16135bigsteve,1,Big Steve's Car Wash,https://classiccarwashandoilchange.com/,90,Unknown,0.2,,"The website primarily advertises oil change and general automotive repair services. While it mentions a 'free car wash' with every oil change, there is no specific information about the type of car wash provided (e.g., Express Tunnel, Full Service, etc.). Additionally, there is no evidence of self-serve bays, in-bay automatic systems, or touchless washes. The presence of broader repair and fleet services further obscures the car wash classification. Thus, the exact type of car wash offered cannot be reliably determined from the provided text."
147781mistic,2,Mistic Express Car Wash,https://www.deanscarwash.com/wash-it-dean-xenia/,90,Full Service,0.95,Hand Wash / Detail;Express Tunnel,"Based on the text provided, the Wash It Dean location in Xenia, OH is classified primarily as Full Service due to its explicit mention of 'pre-prep,' 'towel dry,' and 'quick interior cleans,' consistent with Full Service criteria like interior cleaning and staff assistance. Secondary classification includes Hand Wash / Detail due to the availability of comprehensive detailing packages and the mention of partnering with JD’s Auto Spa for detailed interior and exterior services. Express Tunnel is a secondary type because of the mention of 'Unlimited Monthly Membership Plans' and 'No long-term commitments,' common features of express tunnel car washes. Overall, the combination of services and markers reflects a Full Service car wash with added detailing and express membership options."
147781mistic,1,Mistic Express Car Wash,,0,Express Tunnel,0.5,,name-heuristic: 'express' in client_name (was Unknown)
156751mendham,1,Mendham Car Wash,http://mendhamcarwash.com/,90,Full Service,0.9,Hand Wash / Detail;Express Tunnel;Touchless,"The text explicitly describes multiple Full Service offerings, such as interior cleaning, vacuuming, and thorough detailing, including packages like the 'VIP WASH' and express services after the tunnel. The mention of compressed air blowouts, vacuuming of seats, wiping down vinyl, and hand waxing further confirms this classification. The 'brushless car wash' and 'attention to detail' markers suggest a Touchless component. Hand Wash / Detail is another secondary type due to the emphasis on hand-applied exterior and interior care. The unlimited wash clubs and tunnel references indicate an Express Tunnel as well, further corroborated by terms like 'after tunnel' services."
147781mistic,3,Mistic Express Car Wash,https://www.deanscarwash.com/wash-it-dean-fairborn/,90,Full Service,0.95,Express Tunnel;Hand Wash / Detail,"The website text consistently describes the 'Wash It Dean' locations in Fairborn and Xenia as full-service car washes. Key markers include 'full-service location,' 'towel drys,' 'quick interior cleaning services,' and 'vacuums,' which align with Full Service classification. The mention of Monthly Membership Plans and Unlimited Washes supports a secondary classification of Express Tunnel. Additionally, the availability of 'Full Car Detail Services' through JD's Auto Spa justifies the inclusion of Hand Wash / Detail as another secondary classification. These details were extracted from multiple sections of the provided text, leading to a high confidence score."
178058murray,1,Murray Auto Spa,www.murrayautospa.com,95,Express Tunnel,0.92,Touchless;Self-Serve,"The website mentions multiple types of wash options, including 'Tunnel Wash,' 'Touchless Wash,' and 'Self-Serve Bays.' The presence of staff at the entrance performing presoak and brushing aligns with the Express Tunnel model, which typically includes preparatory cleaning steps before the automated wash. The offering of Touchless and Self-Serve options serves as additional services available to customers, reflected as secondary types."
162721superior,1,R&R Superior Bellfort Carwash,,0,Unknown,0.0,,no confident website found
181322sunset,1,Sunset CW,https://www.sunsetcarwashbellingham.com/,90,Self-Serve,0.95,In-Bay Automatic,"The website prominently advertises its self-serve facilities, including 7 self-serve wash bays and 12 self-serve vacuums, making Self-Serve the most likely classification. The mention of 'Automatic car wash' suggests the presence of an In-Bay Automatic system as a secondary classification. However, there is no mention of features like conveyors (Express Tunnel), interior cleaning (Full Service), brushless systems (Touchless), or mobile services, ruling those classifications out. The content is clear and specific, leading to a high confidence score."
167300jcauto,1,Jc Auto Wash,,0,Unknown,0.0,,no confident website found
181747classy,1,Classy Chassie Car Wash,https://washvillecarwash.com/portland/,90,Express Tunnel,0.95,Unknown,"The scraped website information indicates key features consistent with an Express Tunnel car wash model. The service highlights unlimited monthly memberships, quick convenience, and a tunnel-based wash process ('drive up, drive in, drive off'). Additionally, the mention of free vacuums is common for Express Tunnel washes rather than Full Service or Self-Serve. The absence of interior cleaning, manual hand washing, or other markers of Full Service or Hand Wash services supports 'Express Tunnel' as the classification."
17340cougar,1,Cougar Ridge,,0,Unknown,0.0,,no confident website found
185441sparkle,1,Sparkle Auto Wash,www.sparklemyride.com,95,Unknown,0.1,,"The analyzed scraped text mainly includes placeholders and general website elements (e.g., launching notice, contact form, cookie policy, copyright notice), but does not contain any mention of car wash service details or keywords associated with specific car wash types (e.g., 'interior cleaning', 'self-serve', 'conveyor', 'automatic wash', etc.). Due to the lack of specific information, it is not possible to classify this car wash under any category. The confidence score is kept low (0.1) considering the absence of relevant markers."
172509mermaid,1,Superior Mermaid Carwash,,0,Unknown,0.0,,no confident website found
186961superior,1,Kwik Car Wash,http://carwashkwik.com/,90,Express Tunnel,0.9,Touchless,"The scraped text mentions multiple indicators of an Express Tunnel car wash. It explicitly refers to a 'touchless system,' suggesting automation, and describes the car wash as a '3.5-minute car spa experience,' which is a hallmark of an express exterior-focused service. Additional markers such as a 'personal barcode opens the gate' imply an automated entry system typical of express tunnels with membership plans. The involvement of an attendant at the prewash stage and the mention of a 'soft cloth experience' solidify the classification. Touchless is added as a secondary type due to the explicit reference to a 'touchless system.' While there is some minor ambiguity with interior services due to unclear phrasing, no marker for full-service options like vacuum or interior cleaning is present, so Full Service is ruled out."
187147colorado,1,Colorado Auto Wash,www.coloradoautowash.com,95,Express Tunnel,0.95,Self-Serve,"The primary type is classified as 'Express Tunnel' due to the presence of key markers such as 'Express Exterior car wash,' 'Express Pass Memberships,' and the mention of fast service. The availability of unlimited memberships and express-oriented offerings further solidifies this classification. 'Self-Serve' is added as a secondary type because the scraped text mentions free self-serve vacuum stations. The high confidence score of 0.95 is based on the explicit references supporting the classification and absence of conflicting markers."
190490pauls,1,Paul's Hingham Car Wash,https://hinghamharborauto.com/,90,Unknown,0.2,,"The text primarily describes an auto repair business that also offers car washes. However, it does not provide sufficient details about the type of car wash service provided (e.g., Express Tunnel, Full Service, In-Bay Automatic, etc.). There is no mention of specific features like stay-in-vehicle services, interior vacuuming, hand drying, manual spray wands, or touchless options. Due to the lack of details on the car wash method, the classification is 'Unknown'."
184520david,1,David Chevrolet,https://www.davidcars.com/,90,Unknown,0.25,,"The scraped website text does not mention any specific car wash services or related markers (e.g., express tunnel, full service, in-bay, etc.). Instead, the page appears to be a CAPTCHA or security verification notice, likely for a dealer or commercial-related website (inferred from 'davidcars.com' and the logo). No clear classification can be made based on the provided data."
182053watergap,1,Water Gap Car Wash,,0,Unknown,0.0,,no confident website found
192616splash,1,Splash Car Wash,www.cleancarfast.com,95,Flex,0.95,Express Tunnel;Full Service,"The scraped text indicates that Splash Car Wash offers a combination of express exterior washing with an unlimited membership option ('unlimited washes', 'ease of memberships'), as well as full-service amenities like interior cleaning ('relax in our kid-friendly lobby while we clean the interior of your car'). This suggests a Flex model where customers can choose between express exterior washes and full-service options. Additional references to 'locations across the state', 'friendly staff', and complementary services like quick oil changes reinforce the Flex classification. Express Tunnel is a valid secondary type due to the mention of unlimited membership options and conveyor-like features, while Full Service is included as a secondary type because of the internal cleaning services mentioned. The overall service flexibility and variety align closely with the Flex type."
192616splash,9,Splash Car Wash,www.cleancarfast.com,95,Flex,0.95,Express Tunnel;Full Service,"The scraped text indicates that Splash Car Wash offers a combination of express exterior washing with an unlimited membership option ('unlimited washes', 'ease of memberships'), as well as full-service amenities like interior cleaning ('relax in our kid-friendly lobby while we clean the interior of your car'). This suggests a Flex model where customers can choose between express exterior washes and full-service options. Additional references to 'locations across the state', 'friendly staff', and complementary services like quick oil changes reinforce the Flex classification. Express Tunnel is a valid secondary type due to the mention of unlimited membership options and conveyor-like features, while Full Service is included as a secondary type because of the internal cleaning services mentioned. The overall service flexibility and variety align closely with the Flex type."
192616splash,10,Splash Car Wash,www.cleancarfast.com,95,Flex,0.95,Express Tunnel;Full Service,"The scraped text indicates that Splash Car Wash offers a combination of express exterior washing with an unlimited membership option ('unlimited washes', 'ease of memberships'), as well as full-service amenities like interior cleaning ('relax in our kid-friendly lobby while we clean the interior of your car'). This suggests a Flex model where customers can choose between express exterior washes and full-service options. Additional references to 'locations across the state', 'friendly staff', and complementary services like quick oil changes reinforce the Flex classification. Express Tunnel is a valid secondary type due to the mention of unlimited membership options and conveyor-like features, while Full Service is included as a secondary type because of the internal cleaning services mentioned. The overall service flexibility and variety align closely with the Flex type."
192616splash,11,Splash Car Wash,www.cleancarfast.com,95,Flex,0.95,Express Tunnel;Full Service,"The scraped text indicates that Splash Car Wash offers a combination of express exterior washing with an unlimited membership option ('unlimited washes', 'ease of memberships'), as well as full-service amenities like interior cleaning ('relax in our kid-friendly lobby while we clean the interior of your car'). This suggests a Flex model where customers can choose between express exterior washes and full-service options. Additional references to 'locations across the state', 'friendly staff', and complementary services like quick oil changes reinforce the Flex classification. Express Tunnel is a valid secondary type due to the mention of unlimited membership options and conveyor-like features, while Full Service is included as a secondary type because of the internal cleaning services mentioned. The overall service flexibility and variety align closely with the Flex type."
192616splash,12,Splash Car Wash,www.cleancarfast.com,95,Flex,0.95,Express Tunnel;Full Service,"The scraped text indicates that Splash Car Wash offers a combination of express exterior washing with an unlimited membership option ('unlimited washes', 'ease of memberships'), as well as full-service amenities like interior cleaning ('relax in our kid-friendly lobby while we clean the interior of your car'). This suggests a Flex model where customers can choose between express exterior washes and full-service options. Additional references to 'locations across the state', 'friendly staff', and complementary services like quick oil changes reinforce the Flex classification. Express Tunnel is a valid secondary type due to the mention of unlimited membership options and conveyor-like features, while Full Service is included as a secondary type because of the internal cleaning services mentioned. The overall service flexibility and variety align closely with the Flex type."
192616splash,13,Splash Car Wash,www.cleancarfast.com,95,Flex,0.95,Express Tunnel;Full Service,"The scraped text indicates that Splash Car Wash offers a combination of express exterior washing with an unlimited membership option ('unlimited washes', 'ease of memberships'), as well as full-service amenities like interior cleaning ('relax in our kid-friendly lobby while we clean the interior of your car'). This suggests a Flex model where customers can choose between express exterior washes and full-service options. Additional references to 'locations across the state', 'friendly staff', and complementary services like quick oil changes reinforce the Flex classification. Express Tunnel is a valid secondary type due to the mention of unlimited membership options and conveyor-like features, while Full Service is included as a secondary type because of the internal cleaning services mentioned. The overall service flexibility and variety align closely with the Flex type."
192616splash,14,Splash Car Wash,www.cleancarfast.com,95,Flex,0.95,Express Tunnel;Full Service,"The scraped text indicates that Splash Car Wash offers a combination of express exterior washing with an unlimited membership option ('unlimited washes', 'ease of memberships'), as well as full-service amenities like interior cleaning ('relax in our kid-friendly lobby while we clean the interior of your car'). This suggests a Flex model where customers can choose between express exterior washes and full-service options. Additional references to 'locations across the state', 'friendly staff', and complementary services like quick oil changes reinforce the Flex classification. Express Tunnel is a valid secondary type due to the mention of unlimited membership options and conveyor-like features, while Full Service is included as a secondary type because of the internal cleaning services mentioned. The overall service flexibility and variety align closely with the Flex type."
192616splash,15,Splash Car Wash,www.cleancarfast.com,95,Flex,0.95,Express Tunnel;Full Service,"The scraped text indicates that Splash Car Wash offers a combination of express exterior washing with an unlimited membership option ('unlimited washes', 'ease of memberships'), as well as full-service amenities like interior cleaning ('relax in our kid-friendly lobby while we clean the interior of your car'). This suggests a Flex model where customers can choose between express exterior washes and full-service options. Additional references to 'locations across the state', 'friendly staff', and complementary services like quick oil changes reinforce the Flex classification. Express Tunnel is a valid secondary type due to the mention of unlimited membership options and conveyor-like features, while Full Service is included as a secondary type because of the internal cleaning services mentioned. The overall service flexibility and variety align closely with the Flex type."
